question,answer,vector
Что представляют собой курсы Praktikum?,"Курсы Praktikum длительностью от 3 до 9 месяцев — это комплексные программы, направленные на подготовку к определенной специализации. Они предоставляют полный объем знаний, что и определяет их длительность.","[-0.02393377  0.00908413 -0.01608868 ... -0.00619202 -0.01316233
  0.00947015]"
В какой форме проводятся курсы?,Курсы включают в себя видеоуроки и тестовые задания. Для взаимодействия между преподавателем и студентами существуют специализированные группы в Telegram. Видеоуроки доступны онлайн на нашей платформе.,"[-0.01270432 -0.0204917  -0.01677077 ... -0.00497342  0.01645183
  0.01476412]"
Смогу ли я найти работу после обучения?,На курсах Praktikum вы получите все ключевые знания и навыки для трудоустройства. Тем не менее успешное трудоустройство также зависит от ваших soft skills таких как коммуникабельность и умение работать в команде.,"[-0.00820771  0.00789851  0.00052469 ... -0.01325788 -0.00988485
  0.00393286]"
Можно использовать один курс разным людям?,Каждый приобретенный курс предназначен для использования только одним человеком. Передача или распространение курса другим лицам запрещена.,"[-0.03076276 -0.06292506 -0.02053542 ... -0.01795167  0.0327544
  0.00804057]"
Можно ли оплатить обучение в рассрочку?,"Да, вы можете оформить рассрочку на срок от 30 дней до 12 месяцев. Если второй платеж не поступит вовремя, доступ к курсу будет приостановлен до момента полной оплаты.","[-0.05027715 -0.01067557 -0.01309995 ... -0.01118542  0.01452543
  0.01717872]"
Что такое Mohirdev?,Онлайн-платформа по обучению IT профессиям.,"[-0.01410146 -0.0041912  -0.01208789 ... -0.01697065 -0.00644923
 -0.03440448]"
Чего добился MohirDev?,"Мы стали лидирующей онлайн-платформой в Узбекистане, объединяя более 50 000 активных пользователей, стремящихся к профессиональному росту в IT.","[-0.00207514 -0.01045685 -0.00930528 ... -0.01143838  0.00308759
 -0.01167797]"
Какие приемущества у MohirDev?,"Мы сочетаем теорию и практику, где уроки представлены и на Узбекском языке, что является большим преимуществом. Мы предлагаем не только видеоуроки, но и тестовые задания, которые помогут закрепить полученные знания. Наши преподаватели всегда готовы ответить на ваши вопросы, а регулярные встречи в ZOOM позволяют обсудить сложные моменты. Удобство обучения из дома, использование инновационных технологий и постоянная поддержка — вот что делает нас особенными.","[-0.01836574 -0.02165714 -0.0177796  ... -0.01720849 -0.00208343
 -0.01800504]"
Какая история у компании?,"Наш путь начался с идеи создать платформу, которая даст каждому возможность учиться и развиваться. С тех пор мы приняли участие в международных стартап-конкурсах, успешно привлекли инвестиции и продолжаем расти, благодаря нашей команде и ученикам.","[-0.01196984 -0.0401621  -0.00439454 ... -0.02896862 -0.00570103
 -0.00274767]"
Кто Директор MohirDev?,Анвар Нарзуллаев,"[-0.04507234 -0.01487718 -0.00965639 ... -0.02316983  0.00021308
 -0.02013929]"
Кто входит в команду MohirDev?,"Мы гордимся нашей командой состоящей из более чем 50 человек. Это преподаватели, разработчики, дизайнеры и маркетологи с большим опытом работы. Вместе мы создаем уникальные курсы, помогая тысячам людей достичь своих профессиональных целей.","[-0.03543295 -0.03380286 -0.01388434 ... -0.03311651 -0.00265247
 -0.01604349]"
Когда работает MohirDev?,С понедельника по субботу с 8 утра (08:00) до 9 вечера (21:00) по Ташкентскому времени.,"[-0.03334724 -0.03011077 -0.01215123 ... -0.03438754  0.00695697
 -0.00129044]"
Какой номер телефона MohirDev?,"""+998781136272""","[-0.02867625 -0.01167552 -0.00359452 ... -0.03860776  0.00360783
 -0.01537654]"
Как можно оплатить за обучение в MohirDev?,"Вы можете заплатить за своё обучение 4 методами: Payme, Click, Visa и MasterCard. Ниже описываем инструкции по их оплатам.","[-0.05677124 -0.02012777 -0.01129222 ... -0.03028286 -0.00318335
  0.0058559 ]"
Какие партнеры компании у MohirDev?,"IT-PARK, Classera, Davlat Soliq Qo'mitasi, wasaf, Seven Design Studio, Ibrat Farzandlari, Yoshlar Ishlari Agentligi.","[-0.03472125 -0.02260285 -0.01166906 ... -0.02674217 -0.00634173
  0.00031062]"
Сколько я смогу зарабатывать в сфере IT?,"Junior (Сразу после обучения) - 4,5 mln so'm/мес.; Middle (Второй год работы) - 12 mln so'm/мес.; Senior (Более 3-х лет работы) - +28 mln so'm/мес.;","[-0.05010854 -0.03800568 -0.01185723 ... -0.02851542 -0.01995186
  0.00437668]"
Какие направления в IT есть курсы от MohirDev?,"Frontend разработка, Backend разработка, Мобильная разработка, ИИ разработка, Fullstack разработка, Дизайн, Маркетинг, Менеджмент проектов.","[-0.03979693 -0.01546401 -0.01636901 ... -0.03389187 -0.01061101
  0.00103791]"
Какие отзывы у MohirDev?,"Google Reviews - 4.8/5, Yandex Отзывы - 4.6/5.","[-0.0324029  -0.01737482 -0.01356138 ... -0.02811561  0.004622
 -0.01329813]"
Какие курсы имеются в направлении Frontend?,Frontend Практикум,"[-0.02977432 -0.01016253 -0.01227795 ... -0.04028434 -0.01330212
  0.00055629]"
Какие курсы имеются в направлении Backend?,"PHP & Yii программирование, Node.js практикум, .NET программирование","[-0.02165775 -0.02956867 -0.01009614 ... -0.02853117 -0.02277306
  0.00715225]"
Какие курсы имеются в направлении разработки приложений? ,"Android & Kotlin программирование, iOS & Swift программирование","[-0.03569185 -0.0137613  -0.00938491 ... -0.02720653 -0.01136037
  0.0107343 ]"
Какие курсы имеются в направлении ИИ (Искусственного интелекта)? ,"Искусственный интеллект - NLP, Data Science и AI","[ 1.2562203e-05 -1.5688946e-02 -8.9155864e-03 ... -2.9659977e-02
 -1.2066829e-02 -3.1176093e-03]"
Какие курсы имеются в направлении Full Stack?,"Full Stack Java, Full Stack Python","[-0.03579847 -0.02268526 -0.01306487 ... -0.01347579 -0.02140415
 -0.00596138]"
Какие курсы имеются в направлении Дизайна?,"Скоро будут: Продвинутый UX/UI, Social Media Design","[-0.01270053 -0.01835989 -0.01077005 ... -0.04316149 -0.00682781
 -0.01373689]"
На сколько актуальна профессия кибербезопасности?,Каждую секунду в мире происходит около 2200 кибератак. Защитить цифровой мир помогают пентестеры.,"[-0.02935676 -0.02383737  0.00493612 ... -0.01842464 -0.00723254
  0.00072575]"
Кто такие пентестеры?,"Пентестеры — эксперты по кибербезопасности, которые специализируются на выявлении и устранении уязвимостей в компьютерных системах, сетях и приложениях. Их задача — думать и действовать как хакеры, чтобы находить слабые места до того, как настоящие злоумышленники смогут их эксплуатировать. Это ключевая роль в современном мире.","[-0.04302039 -0.01725779 -0.01162927 ... -0.01689684 -0.0051999
 -0.02070935]"
Сколько зарабатывает специалист по кибербезопасности?,Junior (Сразу после обучения) - $600/мес.; Middle (Второй год работы) - $1500 мес.; Senior (Более 3-х лет работы) - $2500/мес.;,"[-0.03779611 -0.0558917   0.00536649 ... -0.03733469  0.00168016
 -0.00486996]"
Что я получу по окончанию курса?,"Вы пройдете реальные сценарии кибератак и будете практиковать методы их предотвращения. Освоите инструменты и технологии, используемые экспертами в области кибербезопасности. 
Сертификация
Получите сертификат, подтверждающий ваши навыки в области кибербезопасности.","[-0.00207395 -0.01618084 -0.00355341 ... -0.00116195  0.00095793
  0.00576111]"
Какими навыками я буду обладать после окончания курсов по кибербезопасности?,"Программирование на языке Python, Кодирование и рефакторинг, Анализ и решение проблем.","[-0.03120789 -0.03764762  0.00328655 ... -0.01127904 -0.00452972
 -0.01451796]"
"Кто будет учителем, преподавать курс кибербезопасности?",Улугбек Муминов. Специалист по кибербезопасности.,"[-0.05969864 -0.0411501  -0.00260317 ... -0.01587831 -0.00469078
 -0.01722535]"
Сколько стоит курс по кибербезопасности?,2450000 сум.,"[-0.03346586 -0.04585826 -0.00211295 ... -0.0521291   0.01451467
  0.00656413]"
Можно ли взять курс кибербезопасности в рассрочку?,"Да, вы можете оформить рассрочку на срок 6 месяцев и платеж будет составлять от 416000 сум в месяц.","[-0.03948189 -0.03245722 -0.0118295  ... -0.02656855  0.01251921
  0.01335383]"
Чему я научусь на курсе английского языка для IT?,"Основам английского языка в IT, Получите базовые знания английского, адаптированные для IT-сферы. Пониманию и анализу технических текстов, Научитесь читать и понимать техническую документацию на английском языке, Коммуникации с коллегами, Станьте мастером деловой переписки и устных переговоров в IT-сфере.","[-0.05043443  0.04400868 -0.00125727 ... -0.01975201 -0.02252326
  0.00091225]"
Что я получу по окончанию курса английского языка?,"Практика и опыт, Реальные задачи и сценарии из мира IT, Инструментарий, Полезные инструменты для эффективного изучения языка, Сертификация, Документ, подтверждающий ваши навыки и знания.","[-0.02280159  0.00503147  0.00450797 ...  0.00085004 -0.00501561
  0.00490456]"
Какими навыками я буду обладать после окончания курса английского языка?,"Адаптивные навыки в английском языке: Научитесь быстро адаптироваться к различным ситуациям в IT-сфере, используя английский язык. Понимание и анализ технических текстов. Освоите способности читать и анализировать техническую документацию и статьи на английском языке. Умение выражать точку зрения. Получите навыки эффективного общения и убеждения, используя английский язык в профессиональной среде.","[-0.03861467  0.03280678  0.005906   ...  0.00169356 -0.015491
 -0.00176591]"
"Кто будет учителем, преподавать курс английского языка?",Бехзод Ботиров,"[-0.05529702 -0.02300433 -0.00906578 ... -0.00054255 -0.0173495
  0.00216117]"
Сколько стоит курс английского языка?,1500000 сум.,"[-0.03841429 -0.00903802  0.00093585 ... -0.03451469  0.00845631
  0.013961  ]"
Можно ли взять курс английского языка в рассрочку?,"Да, вы можете оформить рассрочку на срок 6 месяцев и платеж будет составлять от 250000 сум в месяц.","[-0.04758485  0.02599328 -0.0091046  ... -0.02034055  0.00967219
  0.01854512]"
На сколько актуальна профессия frontend разработчика?,"Спрос на фронтенд-разработчиков неуклонно растет, и к 2029 году он увеличится на 8%. Не упустите шанс занять свою нишу в этой перспективной сфере. Наш курс предоставит вам все необходимые навыки и инструменты для успешного старта в фронтенд-разработке.","[-0.04723109 -0.0002683  -0.00888853 ... -0.02138481 -0.01733643
  0.00257155]"
Сколько зарабатывает frontend разработчик?,Junior (Сразу после обучения) - $312/мес.; Middle (Второй год работы) - $1350/мес.; Senior (Более 3-х лет работы) - $2800/мес.;,"[-0.04725265 -0.04876402 -0.00467859 ... -0.03307241 -0.001917
  0.00426741]"
Что я получу по окончанию курса frontend разработки?,"Пройдите практику на реальных проектах и получите ценный опыт который повысит вашу ценность как профессионала. Знание актуальных технологий и инструментов для Front-End разработки. 
Сертификация
Вы получите сертификат, подтверждающий ваши навыки и знания, что будет дополнительным плюсом при поиске работы.","[-0.00760525 -0.01256078 -0.00111626 ... -0.01402659 -0.00291751
  0.0094375 ]"
Какими навыками я буду обладать после окончания курсов по frontend разработки?,"Работа с HTML и CSS, JavaScript разработка, Владение Git и GitHub.","[-0.02656674  0.00383032  0.00292224 ... -0.01521569 -0.00847897
  0.00162214]"
"Кто будет учителем, преподавать курс frontend разработки?",Мухаммаджавохир Суратов. Frontend разработчик.,"[-0.05625145 -0.04128663 -0.01370716 ... -0.02599152 -0.01250667
  0.00332199]"
Сколько стоит этот курс frontend разработку?,1500000 сум.,"[-0.05132249 -0.03017464 -0.00560685 ... -0.04141162  0.0017725
  0.01933318]"
Можно ли взять курс frontend разработки в рассрочку?,"Да, вы можете оформить рассрочку на срок 6 месяцев и платеж будет составлять от 250000 сум в месяц.","[-0.05750441 -0.00939976 -0.01507047 ... -0.03224979 -0.00071005
  0.01885095]"
На сколько актуальна профессия data scientist и инженер исскуственного интеллекта?,"С учетом стремительного роста внедрения Искусственного Интеллекта в индустрии, специалисты в этой области становятся все более востребованными. Наш курс предлагает не только теоретические знания, но и практические навыки, которые сделают вас конкурентоспособным на рынке труда.","[-0.02611014 -0.02577813 -0.00550186 ... -0.00319559 -0.01673088
 -0.00218029]"
Сколько зарабатывает разработчик исскуственного интеллекта?,Junior (Сразу после обучения) - $600/мес.; Middle (Второй год работы) - $1500/мес.; Senior (Более 3-х лет работы) - $2915/мес.;,"[-0.00398127 -0.02906807  0.00610082 ... -0.01394644 -0.01197979
 -0.00650554]"
Что я получу по окончанию курса Наука о данных и Исскуственный интеллект?,Получите реальный опыт работы с данными и алгоритмами. Освойте все необходимые инструменты для работы в сфере Data Science. Подтвердите свои навыки официальным сертификатом.,"[-0.00157912 -0.02361492 -0.00119767 ... -0.00577851  0.00894603
 -0.00659938]"
Какими навыками я буду обладать после окончания курса исскуственного интеллекта?,"Python для программирования, Очистка и обработка данных, Анализ и визуализация данных, Алгоритмы машинного обучения, Глубокое обучение и нейронные сети, Обработка естественного языка.","[ 0.00738473 -0.01951776  0.00175913 ...  0.00171052 -0.0045154
 -0.0024352 ]"
"Кто будет учителем, преподавать курс по исскуственному интеллекту?",Анвар Нарзуллаев и Мансурбек Абдуллаев.,"[-0.01901016 -0.02492443 -0.00695455 ... -0.00768855  0.00080529
 -0.01438435]"
Сколько стоит этот курс по data science и artificial intelligence?,2500000 сум.,"[-0.02470256 -0.03014695 -0.00432882 ... -0.02790514  0.01633316
  0.0090206 ]"
Можно ли взять курс data science и исскуственного интеллекта в рассрочку?,"Да, вы можете оформить рассрочку на срок 6 месяцев и платеж будет составлять от 417000 сум в месяц.","[-0.02856681 -0.00123095 -0.0120392  ... -0.016738    0.00746898
  0.01690164]"
На сколько актуальна профессия проджект менеджеров?,"Менеджер проекта гарантирует своевременное и качественное выполнение проекта, создавая эффективные каналы связи в команде. Он создает комфорт для специалистов, раскрывая их потенциал, и использует методы как Agile и Scrum, работая в Jira.","[-0.03962871 -0.01301919 -0.00625697 ...  0.00613981 -0.004679
 -0.0036978 ]"
Сколько зарабатывает проект менеджер?,Junior (Сразу после обучения) - $681/мес.; Middle (Второй год работы) - $2045/мес.; Senior (Более 3-х лет работы) - $3416/мес.;,"[-0.0331635  -0.01375304 -0.0014447  ...  0.00392642  0.00662848
  0.00854947]"
Что я получу по окончанию курса project manager?,"Освоите теорию и получите практический опыт через реальные кейсы и задачи. Изучите современные инструменты управления проектами для оптимизации рабочих процессов. Получите сертификат, подтверждающий ваши навыки в управлении проектами.","[-0.02091239  0.00813952 -0.00684807 ...  0.0069387  -0.00129924
  0.02136553]"
Какими навыками я буду обладать после окончания курса управления проектами?,"Управление командами, Применение Agile и Scrum, Использование Jira, Реализация проектов.","[-0.01418269  0.01492015 -0.00338379 ...  0.00726222  0.00677657
  0.00447874]"
"Кто будет учителем, преподавать курс по проект менеджменту?",Абдулла Хайдаров. Старший Проект Менеджер,"[-0.04538663 -0.00807025 -0.00933374 ...  0.00107923 -0.00363564
 -0.00168156]"
Сколько стоит этот курс по проджект менеджменту?,2000000 сум.,"[-0.03651232 -0.0128571  -0.00277245 ... -0.02311761  0.01370356
  0.00644571]"
Можно ли взять курс проектного менеджмента в рассрочку?,"Да, вы можете оформить рассрочку на срок 6 месяцев и платеж будет составлять от 333000 сум в месяц.","[-0.04002734  0.0009083  -0.01768843 ... -0.01234987  0.01505474
  0.02443874]"
