,question,answer
0,Praktikum kurslari nima?,"3 oydan 9 oygacha davom etadigan praktikum kurslari aniq mutaxassislikka tayyorgarlik ko'rishga qaratilgan keng qamrovli dasturlardir. Ular to'liq bilim organini ta'minlaydi, bu ularning davomiyligini belgilaydi."
1,Kurslar shakli qanday?,Darslarga video darsliklar va test topshiriqlari kiradi. O'qituvchi va o'quvchilar o'rtasida o'zaro muloqot uchun Telegramda maxsus guruhlar mavjud. Video qo'llanmalar bizning platformamizda onlayn tarzda mavjud.
2,Oʻquv mashgʻulotlaridan soʻng ish topa olamanmi?,"Praktikum kurslarida siz ishga joylashish uchun barcha asosiy bilim va ko'nikmalarga ega bo'lasiz. Biroq, muvaffaqiyatli ishga joylashish sizning yumshoq ko'nikmalaringizga, masalan, muloqot ko'nikmalariga va jamoada ishlash qobiliyatiga ham bog'liq."
3,Xuddi shu kursni turli odamlar ishlata oladimi?,Xarid qilingan har bir kursni faqat bir kishi ishlatishi maqsadga muvofiq. Kursni boshqalarga topshirish yoki tarqatish taqiqlanadi.
4,O'qishni to'lovlarda to'lash mumkinmi?,"Ha, siz 30 kundan 12 oygacha bo'lgan muddatga to'lov rejasiga murojaat qilishingiz mumkin. Agar ikkinchi to'lov o'z vaqtida kelmasa, kursga kirish to'liq to'lov amalga oshirilgunga qadar to'xtatiladi."
5,Mohirdev nima?,IT-kasblarni o'qitish uchun onlayn platforma.
6,MohirDev nimaga erishdi?,Biz IT sohasida professional o'sishni istagan 50 mingdan ortiq faol foydalanuvchilarni birlashtirgan holda O'zbekistonning etakchi onlayn platformasiga aylandik.
7,MohirDevning qanday afzalliklari bor?,"Biz nazariya va amaliyotni umumlashtiramiz, unda darslar o'zbek tilida taqdim etiladi, bu katta afzallik. Biz nafaqat video darslarni, balki olingan bilimlarni mustahkamlashga yordam beradigan test vazifalarini ham taklif etamiz. Savollaringizga javob berish uchun bizning o'qituvchilarimiz doimo mavjud bo'lib, muntazam ZOOM uchrashuvlari qiyin fikrlarni muhokama qilish imkonini beradi. Uydan o'rganishning qulayligi, zamonaviy texnologiyalardan foydalanish va doimiy qo'llab-quvvatlash bizni o'zgacha qiladigan narsa."
8,Kompaniya tarixi qanday?,"Sayohatimiz har bir insonga o'rganish va rivojlantirish imkoniyatini beradigan platforma yaratish g'oyasi bilan boshlandi. O'shandan beri biz xalqaro startap musobaqalarida ishtirok etdik, investitsiyalarni muvaffaqiyatli jalb qildik va o'sishda davom etmoqdamiz, jamoamiz va talabalarimiz tufayli."
9,MohirDev direktori kim?,Anvar Narzullaev
10,MohirDev jamoasi aʼzolari kimlar?,"Biz 50 dan ortiq kishidan iborat jamoamiz bilan faxrlanamiz. Ular katta tajribaga ega bo'lgan tarbiyachilar, dasturchilar, dizaynerlar va marketologlardir. Biz birgalikda minglab odamlarning professional maqsadlariga erishishlariga yordam berib, noyob kurslar yaratamiz."
11,Mohirdev qachon ishlaydi?,Dushanbadan shanbagacha soat 8 dan (08:00 gacha) Toshkent vaqti bilan soat 9:00 gacha.
12,MohirDevning telefon raqami nima?,"""+998781136272"""
13,MohirDevdagi oʻqishim uchun qanday toʻlashim mumkin?,"Siz o'qish uchun 4 usul yordamida to'lashingiz mumkin: Payme, Click, Visa va MasterCard. Quyida ular uchun qanday to'lash bo'yicha ko'rsatmalar keltirilgan."
14,Kompaniyaning MohirDev bilan hamkorlari nima?,"IT-PARK, Classera, Davlat Soliq Qo'mitasi, wasaf, Seven Design Studio, Ibrat Farzandlari, Yoshlar Ishlari Agentligi."
15,IT-da qancha pul ishlashim mumkin?,"Junior (Treningdan so'ng darhol) - 4,5 mln so'm/oy; O'rta (Ikkinchi yil) - 12 mln so'm/oy; Katta (3 yildan ortiq ish staji) - +28 mln so'm/oy;"
16,MohirDevdan IT-ning qaysi sohalari boʻyicha kurslar mavjud?,"Frontend Development, Backend Development, Mobile Development, AI Development, Fullstack Development, Design, Marketing, Project Management."
17,MohirDevning koʻrib chiqishlari qanday?,"Google Reviews - 4.8/5, Yandex Reviews - 4.6/5."
18,Frontendda qanday kurslar mavjud?,Frontend Praktikum.
19,Backend-da qanday kurslar mavjud?,"PHP & Yii dasturlash, Node.js prakticum, .NET dasturlash"
20,Dasturni ishlab chiqish sohasida qanday kurslar mavjud?,"Android & Kotlin dasturlash, iOS & Swift dasturlash"
21,AI (Sun'iy intellekt) sohasida qanday kurslar mavjud?,"Sun'iy intellekt - NLP, ma'lumotlar fanlari & AI"
22,Full Stack-da qanday kurslar mavjud?,"Full Stack Java, Full Stack Python"
23,Dizayn sohasida qanday kurslar mavjud?,"Yaqinda keladi: Ilg'or UX / UI, Ijtimoiy Media dizayni"
24,Kiberxavfsizlik kasbi qanchalik dolzarb?,Har soniyada dunyoda 2200 ga yaqin kiberhujumlar boʻlib turadi. Pentesterlar raqamli dunyoni himoya qilish uchun yordam beradi.
25,Pentesterlar kimlar?,"Pentesterlar – kiberxavfsizlik bo'yicha mutaxassislar bo'lib, kompyuter tizimlari, tarmoq va dasturlardagi zaifliklarni aniqlash va tuzatishga ixtisoslashgan. Ularning vazifasi haqiqiy hujumchilar ulardan foydalanishdan oldin zaif tomonlarni topish uchun xakerlar kabi o'ylash va harakat qilishdir. Bu bugungi dunyoda asosiy rol o'ynaydi."
26,Kiberxavfsizlik bo'yicha mutaxassis qancha pul ishlab chiqaradi?,Junior (Mashg'ulotlardan so'ng darhol) - oyiga $ 600; O'rta (Ishning ikkinchi yili) - oyiga $ 1500; Katta (3 yildan ortiq ish staji) - oyiga $ 2500;
27,Kurs oxirida nima olaman?,Siz ularni oldini olish uchun haqiqiy hayotiy kiberhujum ssenariylari va amaliyot usullaridan o'tasiz. Kiberxavfsizlik bo'yicha mutaxassislar foydalanadigan vositalar va texnologiyalarni o'zlashtirish. Sertifikatlash Kiberxavfsizlik qobiliyatingizni isbotlash uchun sertifikat oling.
28,Kiberxavfsizlik kurslarini tugatgandan so'ng qanday ko'nikmalarga ega bo'laman?,"Python dasturlash, kodlash & refactoring, muammoni hal qilish & tahlil."
29,Kiberxavfsizlik kursini oʻqitish uchun oʻqituvchi kim boʻladi?,Ulugbek Muminov. Kiberxavfsizlik bo'yicha mutaxassis.
30,Kiberxavfsizlik kursi qancha turadi?,2450000 som.
31,Bo'limlarda kiberxavfsizlik kursini o'tkazish mumkinmi?,"Ha, siz 6 oy davomida to'lov rejasini tuzishingiz mumkin va to'lov oyiga 416000 so'mdan amalga oshiriladi."
32,IT kursi uchun ingliz tilida nimalarni o'rganaman?,"IT sohasida ingliz tili asoslari, IT sohasiga moslashtirilgan ingliz tilini bilish. Texnik matnlarni tushunish va tahlil qilish, Ingliz tilida texnik hujjatlarni o'qish va tushunishni o'rganish, hamkasblar bilan muloqot, IT sohasida biznesga yozishmalar va og'zaki muzokaralar ustasi bo'lish."
33,Ingliz tili kursi oxirida nima olaman?,"Amaliyot va tajriba, IT olamidan haqiqiy vazifalar va ssenariylar, Tillarni samarali o'rganish uchun foydali vositalar, sertifikatlash, o'z mahoratingiz va bilimingizni tasdiqlovchi hujjat."
34,Ingliz tili kursimni tugatgandan so'ng qanday ko'nikmalarga ega bo'laman?,Ingliz tilida adaptiv ko'nikmalar. Ingliz tili yordamida IT sohasidagi turli vaziyatlarga tez moslashishni o'rganing. Texnik matnlarni tushunish va tahlil qilish. Ingliz tilida texnik hujjatlarni va maqolalarni o'qish va tahlil qilish qobiliyatiga ega bo'lish. Nuqtai nazarni ifodalash qobiliyati. Ingliz tilini professional muhitda qo'llash orqali samarali muloqot va ishontirish ko'nikmalariga ega bo'lish.
35,Ingliz tili kursini o'qitish uchun o'qituvchi kim bo'ladi?,Behzod Botirov
36,Ingliz tili kursi qancha turadi?,1500000 som.
37,To'lovlarda ingliz tili kursini o'tkazish mumkinmi?,"Ha, siz 6 oy davomida to'lov rejasini tuzishingiz mumkin va to'lov oyiga 250000 so'mdan amalga oshiriladi."
38,Front-end dasturchining kasbi qanchalik dolzarb?,"Oldingi dasturchilarga talab tobora ortib bormoqda va 2029 yilga borib, u 8% ga oshadi. Ushbu istiqbolli sohada joyingizni o'yib olish imkoniyatini qo'ldan boy bermang. Bizning kursimiz sizga old tomondagi rivojlanishda muvaffaqiyatli boshlash uchun barcha kerakli ko'nikmalar va vositalarni taqdim etadi."
39,Frontend tuzuvchisi qancha daromad qiladi?,Magistratura (Mashg'ulotlardan so'ng darhol) - oyiga $ 312; O'rta (Ikkinchi yil) - oyiga $ 1350; Katta (3 yildan ortiq ish staji) - oyiga $ 2800;
40,Frontendni rivojlantirish kursi oxirida nima olaman?,"Haqiqiy loyihalar bo'yicha amaliyot o'tkazing va professional sifatida qiymatingizni oshiradigan qimmatli tajribaga ega bo'ling. Front-Endni rivojlantirish uchun joriy texnologiyalar va vositalarni bilish. Sertifikatlash Siz o'zingizning mahoratingiz va bilimingizni tasdiqlovchi sertifikat olasiz, bu ish qidirishda qo'shimcha ravishda qo'shimcha bo'ladi."
41,Frontendni rivojlantirish kurslarini tugatgandan so'ng qanday ko'nikmalarga ega bo'laman?,"HTML va CSS, JavaScriptni ishlab chiqish, Egalik Git va GitHub bilan ishlash."
42,Frontendni rivojlantirish kursini o'qitish uchun o'qituvchi kim bo'ladi?,Muhammajavohir Suratov. Frontend dasturchisi.
43,Ushbu frontendni rivojlantirish kursi qancha turadi?,1500000 som.
44,To'lovlarda oldingi rivojlanish kursini o'tkazish mumkinmi?,"Ha, siz 6 oy davomida to'lov rejasini tuzishingiz mumkin va to'lov oyiga 250000 so'mdan amalga oshiriladi."
45,Ma'lumotlar bilimdoni va sun'iy intellekt muhandisi kasbi qanchalik dolzarb?,"Sanoatda sun'iy intellektning tez sur'atlar bilan o'sib borishini hisobga olsak, ushbu soha mutaxassislari tobora ko'proq talabga ega bo'lib bormoqdalar. Bizning kursimiz nafaqat nazariy bilimlarni, balki ish bozorida raqobatbardosh bo'lishingizga olib keladigan amaliy ko'nikmalarni ham taklif etadi."
46,Sun'iy intellekt ishlab chiqaruvchisi qancha daromad qiladi?,Junior (Mashg'ulotlardan so'ng darhol) - oyiga $ 600; O'rta (Ikkinchi yil) - oyiga $ 1500; Katta (3 yildan ortiq ish staji) - oyiga $ 2915;
47,Data Science va Artificial Intelligence kursining oxirida nima olaman?,Ma'lumotlar va algoritmlar bilan haqiqiy dunyo tajribasiga ega bo'lish. Ma'lumotlar fanlari sohasida ishlash uchun kerak bo'lgan barcha vositalarni o'zlashtiring. O'z mahoratingizni rasmiy sertifikat bilan isbotlang.
48,Sun'iy intellekt kursini tugatgandan so'ng qanday ko'nikmalarga ega bo'laman?,"Python dasturlash, ma'lumotlarni tozalash va qayta ishlash, ma'lumotlarni tahlil qilish va vizualizatsiya qilish, mashina o'rganish algoritmlari, chuqur o'rganish va neyron tarmoqlari, tabiiy tillarni qayta ishlash."
49,Kursni ijodiy yo'nalish bo'yicha o'qitish o'qituvchi kim bo'ladi?,Anvar Narzullaev va Mansurbek Abdullaev.
50,Ushbu ma'lumotlar ilmi va sun'iy intellekt kursi qancha turadi?,2500000 som.
51,Ma'lumotlar fanlari va sun'iy intellekt bo'yicha kursni bo'limlarda o'tkazish mumkinmi?,"Ha, siz 6 oy davomida to'lov rejasini tuzishingiz mumkin va to'lov oyiga 417000 so'mdan amalga oshiriladi."
52,Loyiha menejerlarining kasbi qanchalik dolzarb?,"Loyiha menejeri loyihani o'z vaqtida va yuqori sifatli bajarilishini ta'minlaydi, jamoa ichida samarali aloqa kanallarini yaratadi. U mutaxassislar uchun qulaylik yaratadi, ularning potentsialini ochib beradi va Jira-da ishlayotganda Agile va Scrum kabi usullardan foydalanadi."
53,Loyiha menejeri qancha maosh oladi?,Junior (Mashg'ulotlardan so'ng darhol) - oyiga $ 681; O'rta (Ikkinchi yil) - $ 2045 / oy; Katta (3 yildan ortiq ish staji) - oyiga $ 3416;
54,Loyiha menejeri kursi oxirida nima olaman?,Nazariyani o'zlashtirish va real ishlar va vazifalar orqali amaliy tajribaga ega bo'lish. Ish oqimlarini soddalashtirish uchun loyiha boshqaruvining eng yangi vositalarini o'rganing. Loyiha boshqaruvi bo'yicha ko'nikmalaringizni isbotlash uchun sertifikat oling.
55,Loyiha boshqaruvi kursini tugatgandan so'ng qanday ko'nikmalarga ega bo'laman?,"Jamoa boshqaruvi, tezkor va scrumni qo'llash, Jira-dan foydalanish, loyihalarni amalga oshirish."
56,Loyiha boshqaruvi kursini o'qitish uchun o'qituvchi kim bo'ladi?,Abdulla Xaydarov. Katta loyiha menejeri.
57,Ushbu loyiha boshqaruvi kursi qancha turadi?,2000000 som.
58,Loyiha boshqaruvi kursini bo'lib o'tish mumkinmi?,"Ha, siz 6 oy davomida to'lovni amalga oshirish rejasiga ariza berishingiz mumkin va to'lov oyiga 333000 so'mdan amalga oshiriladi."
